,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
30,0.0,Sun Jun 10 00:34:42 +0000 2018,1.0,0.0,0.0,".@KellyannePolls: ""[President @realDonaldTrump is] very open to differing opinions and viewpoints. He's a master ne… https://t.co/z7mDmPDjMi",31
31,0.7964,Sun Jun 10 00:30:54 +0000 2018,0.693,0.0,0.307,Jockey Mike Smith celebrates atop of Justify after winning the coveted Triple Crown at the Belmont Stakes.… https://t.co/lUG6e16WfK,32
32,-0.1531,Sun Jun 10 00:30:00 +0000 2018,0.897,0.103,0.0,SUNDAY: Don’t miss @FoxNewsSunday from Singapore ahead of President @realDonaldTrump’s historic meeting with North… https://t.co/cF2Y1xLD4Y,33
33,-0.2263,Sun Jun 10 00:20:34 +0000 2018,0.905,0.095,0.0,".@jasonsehorn on national anthem protests: ""Their actual message of what they're trying to get across is being lost… https://t.co/KO4yaWJG4Y",34
34,-0.3818,Sun Jun 10 00:12:34 +0000 2018,0.86,0.14,0.0,"Former @NFL player @JackBrewerBSI: ""We're all Americans. We're in the same family. Families fight, families quarrel… https://t.co/hswCr90kiS",35
35,0.7845,Sun Jun 10 00:05:47 +0000 2018,0.653,0.0,0.347,OPINION: Justify’s Triple Crown win brings us together to admire an uncommonly gifted horse https://t.co/4nIf9mv4Wz,36
36,-0.296,Sun Jun 10 00:00:24 +0000 2018,0.855,0.145,0.0,"Earlier, President @realDonaldTrump accused Canadian Prime Minister @JustinTrudeau of making ""false statements"" at… https://t.co/oUPeNM1BJv",37
37,0.3612,Sat Jun 09 23:54:29 +0000 2018,0.815,0.0,0.185,.@VP reassures family of Otto Warmbier ahead of North Korea summit https://t.co/t0jwuWxjHx,38
38,-0.5413,Sat Jun 09 23:32:44 +0000 2018,0.837,0.163,0.0,.@replouiegohmert: “Robert Mueller has done more damage during his 12 years as FBI director than… probably all the… https://t.co/u1rce2rGvi,39
39,0.2263,Sat Jun 09 23:03:37 +0000 2018,0.909,0.0,0.091,"Nile Gardiner: ""You have protectionist tariffs on both sides of the Atlantic, from the United States but also from… https://t.co/5TM7aYOQhS",40
40,0.5719,Sat Jun 09 22:56:42 +0000 2018,0.764,0.0,0.236,"BREAKING: Justify wins the Belmont Stakes, earning the coveted Triple Crown https://t.co/EEHEgMVywm https://t.co/vjiT9IgcDg",41
41,-0.4019,Sat Jun 09 22:52:49 +0000 2018,0.856,0.144,0.0,"Nile Gardiner on tariff tensions: ""You have all the makings right now for a trade war."" https://t.co/iAdue9Nmav https://t.co/l3NIirukYK",42
42,0.4019,Sat Jun 09 22:48:34 +0000 2018,0.769,0.0,0.231,Taliban announce cease-fire over Eid holiday for 1st time https://t.co/LCHkJcQMW3,43
43,0.7003,Sat Jun 09 22:38:46 +0000 2018,0.766,0.0,0.234,".@VP on Otto Warmbier: ""Today I assured his dad as [@POTUS] said two days ago, their beloved son Otto Warmbier will… https://t.co/ZWPmRWK0Fj",44
44,0.8238,Sat Jun 09 22:37:22 +0000 2018,0.688,0.0,0.312,".@VP on North Korea summit: ""So America, let's pray for [@POTUS] and let's pray for peace for the Korean people and… https://t.co/ODJl1K4kfh",45
45,0.2755,Sat Jun 09 22:35:24 +0000 2018,0.869,0.0,0.131,".@VP on North Korea summit: ""We will not repeat the mistakes of the past."" https://t.co/vkdzKjHLD1",46
46,0.7096,Sat Jun 09 22:33:28 +0000 2018,0.753,0.0,0.247,".@VP: ""As President @realDonaldTrump embarks on this historic quest for peace, I can assure you that he also goes w… https://t.co/0kzlNxMy53",47
47,-0.5859,Sat Jun 09 22:31:23 +0000 2018,0.609,0.278,0.113,".@VP on Singapore summit: ""After years of failed policies and broken promises last year, President @realDonaldTrump… https://t.co/M1kPHystbo",48
48,0.0,Sat Jun 09 22:31:09 +0000 2018,1.0,0.0,0.0,".@VP on North Korea summit: ""Our president is going into this summit with his eyes wide open."" https://t.co/wOy8M4d88p",49
49,0.3182,Sat Jun 09 22:29:49 +0000 2018,0.881,0.0,0.119,".@VP on North Korea summit: ""The truth is, [@realDonaldTrump] has been preparing for this his whole life."" https://t.co/xe4EOjiKsK",50
50,0.0,Sat Jun 09 22:25:05 +0000 2018,1.0,0.0,0.0,".@VP: ""[@POTUS] spent the last two days at the G7 summit in Canada putting America first."" https://t.co/tWO4i7PqEx",51
51,0.6597,Sat Jun 09 22:22:26 +0000 2018,0.738,0.0,0.262,".@VP: ""I want to begin tonight by bringing greetings from a leader who's been delivering every day on his promise t… https://t.co/czUfsg6Edj",52
52,0.7906,Sat Jun 09 22:15:04 +0000 2018,0.72,0.0,0.28,".@VP Mike Pence delivers keynote remarks at the close of the 2018 Faith &amp; Freedom Coalition ""Road to Majority."" https://t.co/JWcCBVCjx1",53
