,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
30,0.1867,Thu May 17 21:19:59 +0000 2018,0.907,0.0,0.093,Rules were made to be broken.💥 Don't miss the heart-pounding season finale of @swatcbs TONIGHT at 10/9c! https://t.co/NXLbeIrvcp,31
31,0.0,Thu May 17 19:12:51 +0000 2018,1.0,0.0,0.0,"Is it fall yet? Check out the first looks at our new fall shows and stars from the CBS Upfront!

https://t.co/l7GQVRzRFw",32
32,0.5562,Thu May 17 13:00:00 +0000 2018,0.854,0.0,0.146,How many shows can you binge in a month? Find out with a 1 month free trial of CBS All Access! Use code STREAMITALL… https://t.co/yccQppCaxC,33
33,0.75,Thu May 17 00:00:00 +0000 2018,0.758,0.0,0.242,"Save the dates! The CBS Fall lineup is here, and we're welcoming six new shows in addition to returning hits. Which… https://t.co/f9PSQfpHL7",34
34,0.5574,Wed May 16 22:56:24 +0000 2018,0.841,0.0,0.159,What happens when the friendliest guy in the Midwest moves his family next door to a not-so-friendly new LA neighbo… https://t.co/KtEoNE3deL,35
35,0.3802,Wed May 16 22:56:24 +0000 2018,0.89,0.0,0.11,"When @MurphyBrownCBS returns to the news world, things sure won't be what they used to be! The revival of the groun… https://t.co/jJcgyqyDxL",36
36,0.34,Wed May 16 22:56:23 +0000 2018,0.888,0.0,0.112,"When decorated former Navy SEAL Thomas Magnum returns home to Hawaii, he embarks on a new mission: solving cases in… https://t.co/6n2MWY3c2f",37
37,0.5859,Wed May 16 22:56:23 +0000 2018,0.826,0.0,0.174,The ordinary turns extraordinary for this suburban couple when an exuberant young pop star unexpectedly moves in wi… https://t.co/9xaAUSm5nm,38
38,0.8398,Wed May 16 22:56:23 +0000 2018,0.6,0.0,0.4,An outspoken atheist's life takes a surprising turn when he accepts a social media friend request from God! Watch w… https://t.co/EbVbL0SNDk,39
39,-0.4588,Wed May 16 22:56:23 +0000 2018,0.577,0.26,0.163,"When danger threatens the nation, these elite agents risk their lives to keep it safe. Join them on the case when n… https://t.co/LuSY0jXBf9",40
40,0.0,Wed May 16 22:56:22 +0000 2018,1.0,0.0,0.0,Meet the new shows coming to CBS this fall!,41
41,0.7777,Wed May 16 21:46:07 +0000 2018,0.764,0.0,0.236,So much TV to love! ❤️ Be sure to follow the shows of the CBS 2018-2019 primetime lineup and stay up-to-date on the… https://t.co/lQwGtznj5i,42
42,0.296,Wed May 16 18:05:27 +0000 2018,0.905,0.0,0.095,"Every mission leaves its mark. Join us in the final mission to avenge Echo Team's deaths, tonight at 9/8c during th… https://t.co/SlfprTVDgD",43
43,0.6369,Wed May 16 13:52:57 +0000 2018,0.766,0.0,0.234,"Get ready for three new comedies, five new dramas and the return of the critically acclaimed @MurphyBrownCBS. Here'… https://t.co/alHwUTRFKh",44
44,0.46,Wed May 16 13:24:14 +0000 2018,0.857,0.0,0.143,"RT @happytogether: When an international pop star moves into your house, life gets a little more interesting! @wayansjr, @AmberoniStevens a…",45
45,0.8122,Wed May 16 13:23:26 +0000 2018,0.67,0.0,0.33,"RT @TheNeighborhood: You can’t pick your neighbors, but Calvin sure wishes he could! @CedEntertainer stars in the new comedy #TheNeighborho…",46
46,-0.2057,Tue May 15 20:16:38 +0000 2018,0.821,0.109,0.07,Tonight's the night - Agent Dwayne Pride's fate will be revealed. Don't miss the special two-hour season finale of… https://t.co/52amkSiNcA,47
47,0.4199,Mon May 14 20:59:11 +0000 2018,0.859,0.0,0.141,"Donuts down, hands up! Get ready for a dramatic turn on the finale of @SuperiorDonuts TONIGHT at 9/8c. 🍩https://t.co/f5VSqOlRYu",48
48,0.0,Mon May 14 18:17:23 +0000 2018,1.0,0.0,0.0,"RT @MagnumPICBS: Thomas Magnum is back on the case! @jay_hernandez stars in #MagnumPI, coming to #CBS. https://t.co/R1aURqMawD",49
49,0.4939,Mon May 14 18:16:12 +0000 2018,0.856,0.0,0.144,"RT @GodFriendedMe: You never know who's going to send you a friend request. #GodFriendedMe, the new drama series starring @hall_m_brandon a…",50
50,-0.3612,Mon May 14 18:15:36 +0000 2018,0.878,0.122,0.0,RT @TheRedLineCBS: Three Chicago families’ lives converge in the wake of a mistaken shooting. From acclaimed producers @ava and @GBerlanti…,51
51,0.6476,Mon May 14 18:15:08 +0000 2018,0.674,0.082,0.243,"RT @FamCBS: No family is perfect, especially this #FAM! @ninadobrev, @toneBell and @odessaadlon star in the new #CBS comedy #FAM. https://t…",52
52,0.9081,Mon May 14 18:14:46 +0000 2018,0.592,0.0,0.408,"RT @TheCodeCBS: Their code is honor, courage and commitment. They pursue military justice at home and abroad. #TheCode coming to #CBS. http…",53
53,-0.762,Mon May 14 18:14:22 +0000 2018,0.586,0.303,0.111,RT @FBICBS: Meet the FBI agents who are investigating the most dangerous cases threatening our nation. From Emmy Winner Dick Wolf and the t…,54
54,0.3612,Mon May 14 18:13:58 +0000 2018,0.8,0.0,0.2,RT @MurphyBrownCBS: The ground-breaking comedy returns. #MurphyBrown coming to #CBS. https://t.co/di8GXoVPjh,55
55,0.0,Mon May 14 14:42:00 +0000 2018,0.696,0.152,0.152,RT @StrangeAngel: Play with fire. 🔥 #StrangeAngel launches June 14 on #CBSAllAccess. https://t.co/xiFSkVz1vB https://t.co/Aw3kGeHyj4,56
56,0.7351,Sun May 13 13:16:14 +0000 2018,0.721,0.0,0.279,"Happy #MothersDay to the moms who comfort us, understand us, and keep us centered. We ❤️ you. https://t.co/4YDmZrTGIC",57
57,0.7245,Fri May 11 23:00:40 +0000 2018,0.748,0.0,0.252,The more the merrier! CBS has ordered five more shows that just might become your new favorites next season:… https://t.co/2g5OSj2xPu,58
58,0.128,Fri May 11 20:55:08 +0000 2018,0.791,0.09,0.119,Thinking about the @BlueBloods_CBS season finale like… Don’t miss the surprising reveal TONIGHT at 10/9c. https://t.co/8ExkPFpnFj,59
59,0.7263,Thu May 10 23:11:17 +0000 2018,0.747,0.0,0.253,"Double the @MomCBS, double the fun! Anyone else feel like they hit the jackpot with the back-to-back Season Finale… https://t.co/ebq8WJLKGf",60
