,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
26,0.5574,Fri Jun 08 17:03:04 +0000 2018,0.841,0.0,0.159,🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the… https://t.co/TN5XaD9I0k,27
27,0.0,Fri Jun 08 16:02:00 +0000 2018,1.0,0.0,0.0,Leaving your responsibilities behind on a Friday like... 💁👋 #FridayFeeling @taylorswift13 https://t.co/wvmpzlOSel,28
28,0.4019,Fri Jun 08 13:03:05 +0000 2018,0.821,0.0,0.179,"📺 From drama Succession to the return of @PoldarkTV, here are the TV shows worth watching in June. 
👉… https://t.co/VFdghjNGmK",29
29,0.784,Fri Jun 08 12:28:10 +0000 2018,0.734,0.0,0.266,RT @bbcouch: We can announce today that Britain's Got Talent winner @LostVoiceGuy will be hosting our Storytelling Live event at @edfringe!…,30
30,0.34,Fri Jun 08 12:24:37 +0000 2018,0.833,0.0,0.167,"RT @BBCEarth: We all have a part to play in protecting #OurBluePlanet.
#WorldOceansDay 💙 https://t.co/1TM73iYPmA",31
31,-0.6486,Fri Jun 08 12:19:25 +0000 2018,0.815,0.185,0.0,"💔 US celebrity chef and television personality Anthony Bourdain has been found dead in his hotel room, aged 61.
👉… https://t.co/55jBxSrdUS",32
32,0.0,Fri Jun 08 12:04:03 +0000 2018,1.0,0.0,0.0,The unexpected pioneering women of electronic music. https://t.co/ih6gK1Sz0y,33
33,-0.2263,Fri Jun 08 11:03:04 +0000 2018,0.894,0.106,0.0,"Forget hygge, a new Nordic lifestyle trend called 'päntsdrunk' is all about drinking in your underwear. 👙🍻… https://t.co/SBTQBZ5E5e",34
34,0.2023,Fri Jun 08 10:52:51 +0000 2018,0.927,0.0,0.073,"RT @UKMoments: All-day Friday @BBC6Music will be playing an all-female playlist, spun by an all-woman DJ line up as part of the BBC's #Hear…",35
35,0.0,Fri Jun 08 10:50:03 +0000 2018,1.0,0.0,0.0,"Pippa Middleton has confirmed she is expecting her first child with husband James Matthews. 
https://t.co/4SiziX5Tix https://t.co/bFobAI2hBp",36
36,-0.3089,Fri Jun 08 09:01:04 +0000 2018,0.83,0.17,0.0,"'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",37
37,0.4404,Fri Jun 08 08:46:14 +0000 2018,0.861,0.0,0.139,"RT @BBC6Music: This Friday, @St_Vincent takes over our Instagram (https://t.co/ui96YFYsuH) and offers some advice to improve your day. Here…",38
38,0.5413,Fri Jun 08 08:01:07 +0000 2018,0.741,0.0,0.259,"These ducklings jumping from their nest are absolutely adorable. 🦆🐣❤️️
https://t.co/NlQijnt3hm",39
39,-0.3089,Fri Jun 08 07:29:05 +0000 2018,0.894,0.106,0.0,"🏙 We often think of cities as the least healthy places to live. But what does the research say?
👉… https://t.co/gm4wRIFCQG",40
40,0.0,Fri Jun 08 07:00:18 +0000 2018,1.0,0.0,0.0,"🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",41
41,-0.3612,Thu Jun 07 19:04:09 +0000 2018,0.857,0.143,0.0,"#OurGirl's Michelle Keegan discovers her great-great-grandmother was a suffragette, fighting for women to get the v… https://t.co/sNDxrleuGi",42
42,0.0,Thu Jun 07 18:00:21 +0000 2018,1.0,0.0,0.0,❤️️ Harry has been wearing a Spider-Man mask during his radiotherapy to give him 'superpowers'. https://t.co/rsyOrCzD7k,43
43,0.7964,Thu Jun 07 16:02:03 +0000 2018,0.53,0.0,0.47,Turns out even Shakespearean acting legends love a good chinwag. https://t.co/0DO0vG4uZg,44
44,0.4404,Thu Jun 07 15:36:48 +0000 2018,0.884,0.0,0.116,"RT @BBC6Music: 💪 Who do you hope to hear during our all-female #HearHer day from 5am-midnight on Friday?

Backstage in Belfast we asked @fi…",45
45,0.8043,Thu Jun 07 15:32:24 +0000 2018,0.544,0.086,0.369,This elderly man was struggling slowly across a busy road - but help was at hand! https://t.co/xfCtAOkL6F,46
46,-0.7906,Thu Jun 07 14:04:02 +0000 2018,0.731,0.269,0.0,"🐍 A Texan required 26 doses of anti-venom after he was bitten by the severed head of a rattlesnake he had killed.
👉… https://t.co/zdD1aO7POz",47
47,-0.4588,Thu Jun 07 13:00:43 +0000 2018,0.862,0.138,0.0,RT @BBC_ARoadshow: 'We did it for all women' - 50 years after they walked out the Dagenham women say the fight for equal pay must go on #An…,48
48,0.2263,Thu Jun 07 13:00:26 +0000 2018,0.921,0.0,0.079,"🎞🎬 From the Jurassic World sequel to an Oscar Wilde biopic, these films are worth making a trip to the cinema for t… https://t.co/PODFpM3UOq",49
49,-0.5574,Thu Jun 07 12:01:05 +0000 2018,0.659,0.242,0.099,"👊💕 If you've ever been touched by cancer, Julie's message will be important. 
https://t.co/L7Ebn2c0Ed",50
50,0.6531,Thu Jun 07 11:46:22 +0000 2018,0.706,0.057,0.237,"RT @BBCEarth: Are you obsessed with the ocean? 🌊
Do you go wild for whales? 🐋
Want to share your passion for presenting with the world?
Ent…",51
51,0.7003,Thu Jun 07 11:01:05 +0000 2018,0.784,0.0,0.216,💕🐮 Cow cuddling is the new wellness trend coming to a field near you and it's guaranteed to put you in a good moooo… https://t.co/8DJNABgCFc,52
52,0.0,Thu Jun 07 09:37:40 +0000 2018,1.0,0.0,0.0,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,53
53,0.3612,Thu Jun 07 08:01:03 +0000 2018,0.828,0.0,0.172,What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,54
54,0.3182,Thu Jun 07 07:28:01 +0000 2018,0.892,0.0,0.108,"The original illustrated map of The Hundred Acre Wood is expected to fetch between £100,000 - £150,000 when it goes… https://t.co/FVle3m5MCh",55
55,0.5106,Thu Jun 07 07:01:05 +0000 2018,0.732,0.0,0.268,❤️🐶 Some heroes don't wear capes - they wear collars. https://t.co/0YF9EdnfL1,56
56,0.0,Wed Jun 06 20:44:01 +0000 2018,1.0,0.0,0.0,"Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",57
57,0.3818,Wed Jun 06 20:04:00 +0000 2018,0.86,0.0,0.14,Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,58
58,0.0,Wed Jun 06 19:03:03 +0000 2018,1.0,0.0,0.0,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",59
59,0.1779,Wed Jun 06 18:03:04 +0000 2018,0.718,0.122,0.16,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,60
60,0.0,Wed Jun 06 17:02:09 +0000 2018,1.0,0.0,0.0,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",61
61,0.0,Wed Jun 06 16:00:01 +0000 2018,1.0,0.0,0.0,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",62
62,0.3182,Wed Jun 06 13:02:05 +0000 2018,0.892,0.0,0.108,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,63
63,-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.847,0.153,0.0,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",64
64,-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.764,0.236,0.0,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",65
65,0.0,Wed Jun 06 11:02:02 +0000 2018,1.0,0.0,0.0,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",66
66,0.0,Wed Jun 06 10:01:40 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",67
67,0.4215,Wed Jun 06 08:55:39 +0000 2018,0.833,0.0,0.167,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,68
68,0.0,Wed Jun 06 08:55:07 +0000 2018,1.0,0.0,0.0,"RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",69
69,0.2732,Wed Jun 06 08:02:01 +0000 2018,0.698,0.126,0.177,"When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",70
70,-0.6486,Wed Jun 06 07:31:01 +0000 2018,0.711,0.229,0.059,"We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",71
71,0.0,Wed Jun 06 07:04:04 +0000 2018,1.0,0.0,0.0,"📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",72
72,-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",73
73,-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",74
74,0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",75
75,0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,76
76,-0.6486,Tue Jun 05 16:31:52 +0000 2018,0.777,0.223,0.0,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",77
77,-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,78
78,0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",79
79,0.6696,Tue Jun 05 12:00:22 +0000 2018,0.64,0.0,0.36,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",80
80,0.4019,Tue Jun 05 11:12:05 +0000 2018,0.863,0.0,0.137,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",81
81,0.0,Tue Jun 05 11:00:07 +0000 2018,1.0,0.0,0.0,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",82
82,0.0,Tue Jun 05 10:45:52 +0000 2018,1.0,0.0,0.0,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,83
83,0.7096,Tue Jun 05 10:34:07 +0000 2018,0.763,0.0,0.237,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,84
84,0.7506,Tue Jun 05 10:31:20 +0000 2018,0.758,0.0,0.242,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",85
85,0.0,Tue Jun 05 10:21:33 +0000 2018,1.0,0.0,0.0,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",86
86,0.0,Tue Jun 05 09:34:23 +0000 2018,1.0,0.0,0.0,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",87
87,0.0,Tue Jun 05 08:01:03 +0000 2018,1.0,0.0,0.0,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,88
88,-0.5719,Tue Jun 05 07:29:04 +0000 2018,0.654,0.346,0.0,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",89
89,0.0,Tue Jun 05 07:00:11 +0000 2018,1.0,0.0,0.0,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,90
90,-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.822,0.178,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",91
91,-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.829,0.171,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",92
92,-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.769,0.231,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,93
93,0.0,Mon Jun 04 17:01:13 +0000 2018,1.0,0.0,0.0,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",94
94,0.0,Mon Jun 04 16:01:04 +0000 2018,1.0,0.0,0.0,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",95
95,-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.851,0.149,0.0,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",96
96,0.5411,Mon Jun 04 12:34:04 +0000 2018,0.83,0.0,0.17,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,97
97,0.6369,Mon Jun 04 12:01:05 +0000 2018,0.743,0.0,0.257,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",98
98,0.0,Mon Jun 04 11:05:00 +0000 2018,1.0,0.0,0.0,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",99
99,0.8774,Mon Jun 04 10:18:03 +0000 2018,0.643,0.0,0.357,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",100
